"","name","group"
"1","ABCG2",4
"2","ADH1C",5
"3","ADORA1",4
"4","ANKRD30A",9
"5","APOE",3
"6","ASNA1",2
"7","ATG4C",7
"8","ATOH1",1
"9","ATP10B",1
"10","ATP13A2",4
"11","ATP1A3",1
"12","BST1",2
"13","BTNL2",10
"14","CABIN1",3
"15","CAPS2",4
"16","CCSER1",1
"17","CD36",4
"18","CEL",3
"19","CHCHD2",4
"20","CLU",2
"21","COL15A1",6
"22","COL6A5",6
"23","COMT",2
"24","CP",1
"25","CPS1",4
"26","CR1",11
"27","CSMD1",1
"28","DARS",4
"29","DARS1",12
"30","DCTN1",4
"31","DGKQ",4
"32","DIS3",3
"33","DNAH8",7
"34","DNAJC13",4
"35","DNAJC6",1
"36","DRD4",4
"37","EIF4G1",2
"38","ELOA2",13
"39","FAM13A",1
"40","FAM13A-AS1",3
"41","FAM47E",2
"42","FAM71A",3
"43","FAM90A1",14
"44","FBXO7",4
"45","FER1L6",2
"46","GAK",4
"47","GALNT3",4
"48","GBA",2
"49","GCH1",3
"50","GET3",1
"51","GH2",5
"52","GIGYF2",1
"53","GPATCH2L",1
"54","GPRIN3",4
"55","GRAMD1C",4
"56","GRID2",2
"57","GRN",2
"58","HERC3",3
"59","HERC5",1
"60","HERC6",2
"61","HLA-DRA",1
"62","HTRA2",4
"63","IFI35",1
"64","ITPR1",2
"65","KALRN",1
"66","KIF21A",1
"67","L2HGDH",3
"68","LPA",8
"69","LRP10",2
"70","LRRK2",2
"71","MAP3K6",1
"72","MAPT",1
"73","MCCC1",2
"74","MMRN1",1
"75","MNS1",1
"76","MS4A5",1
"77","MS4A6A",3
"78","NAP1L5",1
"79","NUCKS1",3
"80","NUS1",3
"81","OGN",5
"82","PARK7",2
"83","PCDHA9",3
"84","PCGF3",15
"85","PICALM",1
"86","PIGY",16
"87","PINK1",2
"88","PKD2",2
"89","PLA2G6",2
"90","PLIN4",3
"91","PM20D1",8
"92","PODXL",4
"93","POLG",3
"94","POMC",5
"95","PPM1K",1
"96","PRB3",1
"97","PRDM2",1
"98","PRKN",2
"99","PRMT3",2
"100","PRNP",2
"101","PSEN1",2
"102","PTCHD3",6
"103","PTEN",3
"104","PTPRH",3
"105","PTRHD1",3
"106","PYURF",2
"107","PZP",2
"108","RAB39B",4
"109","RFPL2",3
"110","RIC3",3
"111","RIT2",1
"112","SCARF2",1
"113","SCN3A",1
"114","SEMA5A",4
"115","SLC18A2",3
"116","SLC2A13",17
"117","SLC30A10",1
"118","SLC41A1",1
"119","SLC45A3",1
"120","SLC50A1",2
"121","SLC6A3",3
"122","SMARCAD1",4
"123","SMPD1",2
"124","SNCA",2
"125","SPG7",2
"126","SPP1",1
"127","SPPL2C",3
"128","SREBF1",3
"129","SVOPL",4
"130","SYNJ1",3
"131","TARDBP",1
"132","TBC1D24",1
"133","TH",1
"134","TIGD2",4
"135","TMEM134",2
"136","TMEM175",2
"137","TMEM230",2
"138","TNK2",1
"139","TNR",1
"140","TWNK",1
"141","UCHL1",2
"142","UHRF1BP1L",3
"143","UQCRC1",4
"144","USP20",4
"145","USP24",3
"146","USP40",2
"147","VAPB",4
"148","VPS13C",3
"149","VPS35",4
"150","WDR45",2
"151","WFS1",2
"152","ZNF516",3
"153","ZNF543",3
