"","name","importance"
"1","ABCG2",152
"2","ADH1C",18
"3","ADORA1",0
"4","APOE",163
"5","ATG4C",0
"6","ATP10B",0
"7","ATP13A2",293
"8","ATP1A3",51
"9","BTNL2",0
"10","CCSER1",103
"11","CD36",321.5
"12","CEL",0
"13","CHCHD2",405
"14","CLU",297
"15","COL15A1",82
"16","COL6A5",0
"17","COMT",254
"18","CP",161
"19","CPS1",0
"20","CR1",0
"21","DARS1",42
"22","DCTN1",25
"23","DGKQ",142
"24","DIS3",0
"25","DNAJC13",96
"26","DNAJC6",21
"27","DRD4",2
"28","EIF4G1",303.5
"29","ELOA2",0
"30","FAM13A",195
"31","FAM47E",0
"32","FAM90A1",0
"33","FBXO7",43
"34","GAK",238
"35","GALNT3",0
"36","GBA",394.5
"37","GCH1",208.5
"38","GET3",136
"39","GH2",0
"40","GIGYF2",13
"41","GPATCH2L",365
"42","GPRIN3",296
"43","GRAMD1C",0
"44","GRID2",24
"45","GRN",33
"46","HERC3",142
"47","HERC5",435
"48","HERC6",10
"49","HLA-DRA",12
"50","HTRA2",212
"51","IFI35",149
"52","ITPR1",154
"53","KALRN",0
"54","KIF21A",0
"55","LPA",0
"56","LRP10",0
"57","LRRK2",671
"58","MAPT",679
"59","MCCC1",50
"60","MMRN1",1
"61","MS4A6A",48
"62","NAP1L5",0
"63","NUCKS1",50
"64","NUS1",0
"65","OGN",49
"66","PARK7",237
"67","PCGF3",0
"68","PICALM",0
"69","PIGY",138
"70","PINK1",684
"71","PKD2",11
"72","PLA2G6",252.5
"73","PLIN4",0
"74","PODXL",130
"75","POLG",31
"76","POMC",183
"77","PRB3",0
"78","PRDM2",0
"79","PRKN",169
"80","PRMT3",0
"81","PRNP",301
"82","PSEN1",328
"83","PTEN",400
"84","PTPRH",0
"85","PTRHD1",0
"86","PYURF",44
"87","PZP",0
"88","RAB39B",136
"89","RIC3",48
"90","RIT2",3
"91","SCN3A",0
"92","SEMA5A",0
"93","SLC18A2",86
"94","SLC2A13",123
"95","SLC30A10",0
"96","SLC41A1",7
"97","SLC45A3",0
"98","SLC50A1",0
"99","SLC6A3",82
"100","SMPD1",0
"101","SNCA",1141
"102","SPG7",141.5
"103","SPP1",86
"104","SPPL2C",30
"105","SREBF1",0
"106","SVOPL",123
"107","SYNJ1",165
"108","TARDBP",94
"109","TBC1D24",0
"110","TH",92
"111","TIGD2",55
"112","TMEM134",0
"113","TMEM175",162
"114","TMEM230",17
"115","TNK2",0
"116","TNR",0
"117","TWNK",6
"118","UCHL1",168
"119","UHRF1BP1L",119
"120","UQCRC1",133
"121","USP20",0
"122","USP24",16
"123","VAPB",63
"124","VPS13C",943
"125","VPS35",335
"126","WDR45",123
"127","WFS1",4
"128","ZNF516",0
"129","ZNF543",0
