"","name","group"
"1","ABCG2",22
"2","ADH1C",23
"3","ADORA1",24
"4","APOE",5
"5","ATG4C",25
"6","ATP10B",26
"7","ATP13A2",1
"8","ATP1A3",12
"9","BTNL2",27
"10","CCSER1",4
"11","CD36",6
"12","CEL",28
"13","CHCHD2",1
"14","CLU",5
"15","COL15A1",8
"16","COL6A5",8
"17","COMT",7
"18","CP",29
"19","CPS1",30
"20","CR1",31
"21","DARS1",32
"22","DCTN1",33
"23","DGKQ",13
"24","DIS3",34
"25","DNAJC13",1
"26","DNAJC6",1
"27","DRD4",7
"28","EIF4G1",1
"29","ELOA2",9
"30","FAM13A",2
"31","FAM47E",35
"32","FAM90A1",36
"33","FBXO7",1
"34","GAK",1
"35","GALNT3",14
"36","GBA",1
"37","GCH1",15
"38","GET3",16
"39","GH2",17
"40","GIGYF2",1
"41","GPATCH2L",3
"42","GPRIN3",4
"43","GRAMD1C",3
"44","GRID2",4
"45","GRN",37
"46","HERC3",2
"47","HERC5",2
"48","HERC6",9
"49","HLA-DRA",38
"50","HTRA2",1
"51","IFI35",9
"52","ITPR1",18
"53","KALRN",6
"54","KIF21A",39
"55","LPA",40
"56","LRP10",41
"57","LRRK2",1
"58","MAPT",10
"59","MCCC1",42
"60","MMRN1",4
"61","MS4A6A",12
"62","NAP1L5",2
"63","NUCKS1",11
"64","NUS1",43
"65","OGN",8
"66","PARK7",1
"67","PCGF3",44
"68","PICALM",5
"69","PIGY",2
"70","PINK1",1
"71","PKD2",45
"72","PLA2G6",1
"73","PLIN4",6
"74","PODXL",1
"75","POLG",46
"76","POMC",17
"77","PRB3",16
"78","PRDM2",19
"79","PRKN",1
"80","PRMT3",47
"81","PRNP",5
"82","PSEN1",10
"83","PTEN",20
"84","PTPRH",3
"85","PTRHD1",1
"86","PYURF",2
"87","PZP",48
"88","RAB39B",1
"89","RIC3",1
"90","RIT2",13
"91","SCN3A",14
"92","SEMA5A",49
"93","SLC18A2",7
"94","SLC2A13",21
"95","SLC30A10",50
"96","SLC41A1",11
"97","SLC45A3",11
"98","SLC50A1",21
"99","SLC6A3",7
"100","SMPD1",51
"101","SNCA",1
"102","SPG7",15
"103","SPP1",20
"104","SPPL2C",2
"105","SREBF1",52
"106","SVOPL",3
"107","SYNJ1",1
"108","TARDBP",1
"109","TBC1D24",53
"110","TH",54
"111","TIGD2",4
"112","TMEM134",55
"113","TMEM175",1
"114","TMEM230",1
"115","TNK2",56
"116","TNR",57
"117","TWNK",6
"118","UCHL1",10
"119","UHRF1BP1L",3
"120","UQCRC1",58
"121","USP20",59
"122","USP24",60
"123","VAPB",61
"124","VPS13C",1
"125","VPS35",1
"126","WDR45",62
"127","WFS1",18
"128","ZNF516",19
"129","ZNF543",3
